taxa_query,family,ottid_species,aphia_id,scientificname,authority,status,unacceptreason,rank,valid_aphia_id,valid_name,valid_authority,parent_name_usage_id,kingdom,phylum,class,order,genus,is_marine,is_brackish,is_freshwater,is_terrestrial,is_extinct,match_type
Hippasteria spinosa,Goniasteridae,658153,123135,Goniasteridae,"Forbes, 1841",accepted,NA,Family,123135,Goniasteridae,"Forbes, 1841",123090,Animalia,Echinodermata,Asteroidea,Valvatida,NA,1,0,0,0,0,exact
Echinostoma hortense,Echinostomatidae,591822,108420,Echinostomatidae,"Looss, 1899",accepted,NA,Family,108420,Echinostomatidae,"Looss, 1899",108404,Animalia,Platyhelminthes,Trematoda,Plagiorchiida,NA,1,1,1,1,NA,exact
Nippostrongylus brasiliensis,Heligmonellidae,369898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sparganum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hydatigera taeniaeformis,Taeniidae,635249,836271,Taeniidae,"Ludwig, 1886",accepted,NA,Family,836271,Taeniidae,"Ludwig, 1886",104913,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,NA,1,NA,NA,NA,NA,exact
Hymenolepis diminuta,Hymenolepididae,445201,104930,Hymenolepididae,"Ariola, 1899",accepted,NA,Family,104930,Hymenolepididae,"Ariola, 1899",104913,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,NA,1,1,1,1,NA,exact
Leptasterias alaskensis,Asteriidae,553142,123121,Asteriidae,"Gray, 1840",accepted,NA,Family,123121,Asteriidae,"Gray, 1840",123086,Animalia,Echinodermata,Asteroidea,Forcipulatida,NA,1,0,0,0,0,exact
Leptasterias leptodoma,Asteriidae,553152,123121,Asteriidae,"Gray, 1840",accepted,NA,Family,123121,Asteriidae,"Gray, 1840",123086,Animalia,Echinodermata,Asteroidea,Forcipulatida,NA,1,0,0,0,0,exact
Leptasterias camtschatica,Asteriidae,553137,123121,Asteriidae,"Gray, 1840",accepted,NA,Family,123121,Asteriidae,"Gray, 1840",123086,Animalia,Echinodermata,Asteroidea,Forcipulatida,NA,1,0,0,0,0,exact
Echinaster paucispinus,Echinasteridae,3656052,123132,Echinasteridae,"Verrill, 1867",accepted,NA,Family,123132,Echinasteridae,"Verrill, 1867",123089,Animalia,Echinodermata,Asteroidea,Spinulosida,NA,1,0,0,0,0,exact
Echinococcus canadensis,Taeniidae,787335,836271,Taeniidae,"Ludwig, 1886",accepted,NA,Family,836271,Taeniidae,"Ludwig, 1886",104913,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,NA,1,NA,NA,NA,NA,exact
Heliaster helianthoides,Heliasteridae,781477,255069,Heliasteridae,"Viguier, 1879",accepted,NA,Family,255069,Heliasteridae,"Viguier, 1879",123086,Animalia,Echinodermata,Asteroidea,Forcipulatida,NA,1,0,0,0,0,exact
Anatrichosoma haycocki,Anatrichosomatidae,14737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Capillaria gastrica,Capillariidae,722814,834681,Capillariidae,"Railliet, 1915",accepted,NA,Family,834681,Capillariidae,"Railliet, 1915",22845,Animalia,Nematoda,Enoplea,Trichinellida,NA,1,1,1,1,NA,exact
Paradeontacylix ibericus,Aporocotylidae,39663,414763,Aporocotylidae,"Odhner, 1912",accepted,NA,Family,414763,Aporocotylidae,"Odhner, 1912",108419,Animalia,Platyhelminthes,Trematoda,Diplostomida,NA,1,1,1,1,NA,exact
Paradeontacylix balearicus,Aporocotylidae,39680,414763,Aporocotylidae,"Odhner, 1912",accepted,NA,Family,414763,Aporocotylidae,"Odhner, 1912",108419,Animalia,Platyhelminthes,Trematoda,Diplostomida,NA,1,1,1,1,NA,exact
Diphyllobothrium nihonkaiense,Diphyllobothriidae,532092,104937,Diphyllobothriidae,"Lühe, 1910",accepted,NA,Family,104937,Diphyllobothriidae,"Lühe, 1910",515793,Animalia,Platyhelminthes,Cestoda,Diphyllobothriidea,NA,1,1,1,1,NA,exact
Schistosomatium douthitti,Schistosomatidae,356821,108478,Schistosomatidae,"Stiles & Hassall, 1898",accepted,NA,Family,108478,Schistosomatidae,"Stiles & Hassall, 1898",108419,Animalia,Platyhelminthes,Trematoda,Diplostomida,NA,1,1,1,1,NA,exact
Rauschoides alternata,Anoplocephalidae,920136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paranoplocephala,Anoplocephalidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paranoplocephala omphalodes,Anoplocephalidae,920140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lytechinus anamesus,Toxopneustidae,469434,123179,Toxopneustidae,"Troschel, 1872",accepted,NA,Family,123179,Toxopneustidae,"Troschel, 1872",510604,Animalia,Echinodermata,Echinoidea,Camarodonta,NA,1,0,0,0,0,exact
Andrya cuniculi,Anoplocephalidae,626456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andrya rhopalocephala,Anoplocephalidae,437021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Raillietina australis,Davaineidae,720909,104927,Davaineidae,"Braun, 1900",accepted,NA,Family,104927,Davaineidae,"Braun, 1900",104913,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,NA,1,1,1,NA,NA,exact
Raillietina beveridgei,Davaineidae,133689,104927,Davaineidae,"Braun, 1900",accepted,NA,Family,104927,Davaineidae,"Braun, 1900",104913,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,NA,1,1,1,NA,NA,exact
Raillietina mitchelli,Davaineidae,133699,104927,Davaineidae,"Braun, 1900",accepted,NA,Family,104927,Davaineidae,"Braun, 1900",104913,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,NA,1,1,1,NA,NA,exact
Echinococcus granulosus,Taeniidae,481594,836271,Taeniidae,"Ludwig, 1886",accepted,NA,Family,836271,Taeniidae,"Ludwig, 1886",104913,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,NA,1,NA,NA,NA,NA,exact
Anoplocephaloides dentata,Anoplocephalidae,198708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Microticola blanchardi,Anoplocephalidae,437022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paranoplocephala etholeni,Anoplocephalidae,244572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ctenotaenia marmotae,Anoplocephalidae,767662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anoplocephala perfoliata,Anoplocephalidae,1027175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
