query,family,ottid_species,aphia_id,scientificname,authority,status,unacceptreason,rank,valid_aphia_id,valid_name,valid_authority,parent_name_usage_id,kingdom,phylum,class,order,genus,is_marine,is_brackish,is_freshwater,is_terrestrial,is_extinct,match_type
Erpobdella microstoma,Erpobdellidae,,160005,Erpobdellidae,"Moore, 1908",accepted,NA,Family,160005,Erpobdellidae,"Moore, 1908",160002,Animalia,Annelida,Clitellata,Arhynchobdellida,NA,0,1,1,0,0,exact
Metaphire sieboldi,Megascolecidae,,22960,Megascolecidae,"Rosa, 1891",accepted,NA,Family,22960,Megascolecidae,"Rosa, 1891",468019,Animalia,Annelida,Clitellata,Crassiclitellata,NA,1,1,NA,1,NA,exact
Metaphire tosaensis,Megascolecidae,,22960,Megascolecidae,"Rosa, 1891",accepted,NA,Family,22960,Megascolecidae,"Rosa, 1891",468019,Animalia,Annelida,Clitellata,Crassiclitellata,NA,1,1,NA,1,NA,exact
Amynthas vittatus,Megascolecidae,,22960,Megascolecidae,"Rosa, 1891",accepted,NA,Family,22960,Megascolecidae,"Rosa, 1891",468019,Animalia,Annelida,Clitellata,Crassiclitellata,NA,1,1,NA,1,NA,exact
Metaphire hilgendorfi,Megascolecidae,,22960,Megascolecidae,"Rosa, 1891",accepted,NA,Family,22960,Megascolecidae,"Rosa, 1891",468019,Animalia,Annelida,Clitellata,Crassiclitellata,NA,1,1,NA,1,NA,exact
Duplodicodrilus schmardae,Megascolecidae,,22960,Megascolecidae,"Rosa, 1891",accepted,NA,Family,22960,Megascolecidae,"Rosa, 1891",468019,Animalia,Annelida,Clitellata,Crassiclitellata,NA,1,1,NA,1,NA,exact
Metaphire megascolidioides,Megascolecidae,,22960,Megascolecidae,"Rosa, 1891",accepted,NA,Family,22960,Megascolecidae,"Rosa, 1891",468019,Animalia,Annelida,Clitellata,Crassiclitellata,NA,1,1,NA,1,NA,exact
Amynthas carnosus,Megascolecidae,,22960,Megascolecidae,"Rosa, 1891",accepted,NA,Family,22960,Megascolecidae,"Rosa, 1891",468019,Animalia,Annelida,Clitellata,Crassiclitellata,NA,1,1,NA,1,NA,exact
Amynthas distichus,Megascolecidae,,22960,Megascolecidae,"Rosa, 1891",accepted,NA,Family,22960,Megascolecidae,"Rosa, 1891",468019,Animalia,Annelida,Clitellata,Crassiclitellata,NA,1,1,NA,1,NA,exact
Amynthas fuscatus,Megascolecidae,,22960,Megascolecidae,"Rosa, 1891",accepted,NA,Family,22960,Megascolecidae,"Rosa, 1891",468019,Animalia,Annelida,Clitellata,Crassiclitellata,NA,1,1,NA,1,NA,exact
Amynthas glabrus,Megascolecidae,,22960,Megascolecidae,"Rosa, 1891",accepted,NA,Family,22960,Megascolecidae,"Rosa, 1891",468019,Animalia,Annelida,Clitellata,Crassiclitellata,NA,1,1,NA,1,NA,exact
Amynthas hupeiensis,Megascolecidae,,22960,Megascolecidae,"Rosa, 1891",accepted,NA,Family,22960,Megascolecidae,"Rosa, 1891",468019,Animalia,Annelida,Clitellata,Crassiclitellata,NA,1,1,NA,1,NA,exact
Amynthas micronarius,Megascolecidae,,22960,Megascolecidae,"Rosa, 1891",accepted,NA,Family,22960,Megascolecidae,"Rosa, 1891",468019,Animalia,Annelida,Clitellata,Crassiclitellata,NA,1,1,NA,1,NA,exact
Amynthas minimus,Megascolecidae,,22960,Megascolecidae,"Rosa, 1891",accepted,NA,Family,22960,Megascolecidae,"Rosa, 1891",468019,Animalia,Annelida,Clitellata,Crassiclitellata,NA,1,1,NA,1,NA,exact
Amynthas morrisi,Megascolecidae,,22960,Megascolecidae,"Rosa, 1891",accepted,NA,Family,22960,Megascolecidae,"Rosa, 1891",468019,Animalia,Annelida,Clitellata,Crassiclitellata,NA,1,1,NA,1,NA,exact
Amynthas phaselus,Megascolecidae,,22960,Megascolecidae,"Rosa, 1891",accepted,NA,Family,22960,Megascolecidae,"Rosa, 1891",468019,Animalia,Annelida,Clitellata,Crassiclitellata,NA,1,1,NA,1,NA,exact
Amynthas purpuratus,Megascolecidae,,22960,Megascolecidae,"Rosa, 1891",accepted,NA,Family,22960,Megascolecidae,"Rosa, 1891",468019,Animalia,Annelida,Clitellata,Crassiclitellata,NA,1,1,NA,1,NA,exact
Amynthas tappensis,Megascolecidae,,22960,Megascolecidae,"Rosa, 1891",accepted,NA,Family,22960,Megascolecidae,"Rosa, 1891",468019,Animalia,Annelida,Clitellata,Crassiclitellata,NA,1,1,NA,1,NA,exact
Amynthas tokioensis,Megascolecidae,,22960,Megascolecidae,"Rosa, 1891",accepted,NA,Family,22960,Megascolecidae,"Rosa, 1891",468019,Animalia,Annelida,Clitellata,Crassiclitellata,NA,1,1,NA,1,NA,exact
Amynthas yambaruensis,Megascolecidae,,22960,Megascolecidae,"Rosa, 1891",accepted,NA,Family,22960,Megascolecidae,"Rosa, 1891",468019,Animalia,Annelida,Clitellata,Crassiclitellata,NA,1,1,NA,1,NA,exact
Amynthas yunoshimensis,Megascolecidae,,22960,Megascolecidae,"Rosa, 1891",accepted,NA,Family,22960,Megascolecidae,"Rosa, 1891",468019,Animalia,Annelida,Clitellata,Crassiclitellata,NA,1,1,NA,1,NA,exact
Duplodicodrilus acinctus,Megascolecidae,,22960,Megascolecidae,"Rosa, 1891",accepted,NA,Family,22960,Megascolecidae,"Rosa, 1891",468019,Animalia,Annelida,Clitellata,Crassiclitellata,NA,1,1,NA,1,NA,exact
Metaphire agrestis,Megascolecidae,,22960,Megascolecidae,"Rosa, 1891",accepted,NA,Family,22960,Megascolecidae,"Rosa, 1891",468019,Animalia,Annelida,Clitellata,Crassiclitellata,NA,1,1,NA,1,NA,exact
Metaphire californica,Megascolecidae,,22960,Megascolecidae,"Rosa, 1891",accepted,NA,Family,22960,Megascolecidae,"Rosa, 1891",468019,Animalia,Annelida,Clitellata,Crassiclitellata,NA,1,1,NA,1,NA,exact
Metaphire communissima,Megascolecidae,,22960,Megascolecidae,"Rosa, 1891",accepted,NA,Family,22960,Megascolecidae,"Rosa, 1891",468019,Animalia,Annelida,Clitellata,Crassiclitellata,NA,1,1,NA,1,NA,exact
Metaphire servina,Megascolecidae,,22960,Megascolecidae,"Rosa, 1891",accepted,NA,Family,22960,Megascolecidae,"Rosa, 1891",468019,Animalia,Annelida,Clitellata,Crassiclitellata,NA,1,1,NA,1,NA,exact
Metaphire soulensis,Megascolecidae,,22960,Megascolecidae,"Rosa, 1891",accepted,NA,Family,22960,Megascolecidae,"Rosa, 1891",468019,Animalia,Annelida,Clitellata,Crassiclitellata,NA,1,1,NA,1,NA,exact
Metaphire vesiculata,Megascolecidae,,22960,Megascolecidae,"Rosa, 1891",accepted,NA,Family,22960,Megascolecidae,"Rosa, 1891",468019,Animalia,Annelida,Clitellata,Crassiclitellata,NA,1,1,NA,1,NA,exact
Metaphire yamadai,Megascolecidae,,22960,Megascolecidae,"Rosa, 1891",accepted,NA,Family,22960,Megascolecidae,"Rosa, 1891",468019,Animalia,Annelida,Clitellata,Crassiclitellata,NA,1,1,NA,1,NA,exact
Polypheretima taprobanae,Megascolecidae,,22960,Megascolecidae,"Rosa, 1891",accepted,NA,Family,22960,Megascolecidae,"Rosa, 1891",468019,Animalia,Annelida,Clitellata,Crassiclitellata,NA,1,1,NA,1,NA,exact
Pithemera bicincta,Megascolecidae,,22960,Megascolecidae,"Rosa, 1891",accepted,NA,Family,22960,Megascolecidae,"Rosa, 1891",468019,Animalia,Annelida,Clitellata,Crassiclitellata,NA,1,1,NA,1,NA,exact
Erpobdella japonica,Erpobdellidae,,160005,Erpobdellidae,"Moore, 1908",accepted,NA,Family,160005,Erpobdellidae,"Moore, 1908",160002,Animalia,Annelida,Clitellata,Arhynchobdellida,NA,0,1,1,0,0,exact
Glossiphonia elegans,Glossiphoniidae,,160008,Glossiphoniidae,"Vaillant, 1890",accepted,NA,Family,160008,Glossiphoniidae,"Vaillant, 1890",2117,Animalia,Annelida,Clitellata,Rhynchobdellida,NA,1,NA,1,1,NA,exact
Theromyzon rude,Glossiphoniidae,,160008,Glossiphoniidae,"Vaillant, 1890",accepted,NA,Family,160008,Glossiphoniidae,"Vaillant, 1890",2117,Animalia,Annelida,Clitellata,Rhynchobdellida,NA,1,NA,1,1,NA,exact
Erpobdella obscura,Erpobdellidae,,160005,Erpobdellidae,"Moore, 1908",accepted,NA,Family,160005,Erpobdellidae,"Moore, 1908",160002,Animalia,Annelida,Clitellata,Arhynchobdellida,NA,0,1,1,0,0,exact
