taxa_query,found_taxa,rank,phylum,class,order,family,genus,worms_aphiaid,bold_id,gbif_key,ott_id,status,unacceptreason,is_synonym,flags,valid_authority,worms_sciname,tol_sciname,bold_taxon,gbif_sciname,freshwater_only,terrestrial_only
Amynthas robustus,Amynthas robustus,species,Annelida,Clitellata,Crassiclitellata,Megascolecidae,Amynthas,1507696,81389,5854839,264553,accepted,NA,FALSE,sibling_higher,"(Perrier, 1872)",Amynthas robustus,Amynthas robustus,Amynthas robustus,"Amynthas robustus (Perrier, 1872)",NA,1
Lumbricidae,Lumbricidae,family,Annelida,Clitellata,Crassiclitellata,Lumbricidae,NA,154884,25193,6103,316446,accepted,NA,FALSE,sibling_higher,"Rafinesque, 1815",Lumbricidae,Lumbricidae,Lumbricidae,Lumbricidae,0,1
Microscolex phosphoreus,Microscolex phosphoreus,species,Annelida,Clitellata,Crassiclitellata,Acanthodrilidae,Microscolex,1433886,258704,2307726,657256,accepted,NA,FALSE,NA,"(Dugès, 1837)",Microscolex phosphoreus,Microscolex phosphoreus,Microscolex phosphoreus,"Microscolex phosphoreus (Dugès, 1837)",0,1
Orobdella octonaria,Orobdella octonaria,species,Annelida,Clitellata,Arhynchobdellida,Orobdellidae,Orobdella,1594072,506563,8750945,631090,accepted,NA,FALSE,NA,"Oka, 1895",Orobdella octonaria,Orobdella octonaria,Orobdella octonaria,"Orobdella octonaria Oka, 1895",0,1
Allolobophora chlorotica,Allolobophora chlorotica,species,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Allolobophora,994685,127146,4410938,761874,accepted,NA,FALSE,NA,"(Savigny in Cuvier, 1826)",Allolobophora chlorotica,Allolobophora chlorotica,Allolobophora chlorotica,"Allolobophora chlorotica (Savigny, 1826)",0,1
Aporrectodea caliginosa,Aporrectodea caliginosa,species,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Aporrectodea,1041019,25208,2307759,128734,accepted,NA,FALSE,NA,"(Savigny in Cuvier, 1826)",Aporrectodea caliginosa,Aporrectodea caliginosa,Aporrectodea caliginosa,"Aporrectodea caliginosa (Savigny, 1826)",1,0
Aporrectodea rosea,Aporrectodea rosea,species,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Aporrectodea,994668,25205,2307760,1039463,accepted,NA,FALSE,NA,"(Savigny in Cuvier, 1826)",Aporrectodea rosea,Aporrectodea rosea,Aporrectodea rosea,"Aporrectodea rosea (Savigny, 1826)",0,1
Satchellius mammalis,Satchellius mammalis,species,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Satchellius,1074033,406645,4410498,121709,accepted,NA,FALSE,NA,"(Savigny in Cuvier, 1826)",Satchellius mammalis,Satchellius mammalis,Satchellius mammalis,"Satchellius mammalis (Savigny, 1826)",0,1
Hemiclepsis marginata,Hemiclepsis marginata,species,Annelida,Clitellata,Rhynchobdellida,Glossiphoniidae,Hemiclepsis,182701,33393,4308093,774568,accepted,NA,FALSE,NA,"(O. F. Müller, 1773)",Hemiclepsis marginata,Hemiclepsis marginata,Hemiclepsis marginata,"Hemiclepsis marginata (O.F.Müller, 1773)",1,NA
Haemopis marmorata,Haemopis marmorata,species,Annelida,Clitellata,Arhynchobdellida,Haemopidae,Haemopis,1451170,33376,2308817,674,accepted,NA,FALSE,NA,"(Say, 1824)",Haemopis marmorata,Haemopis marmorata,Haemopis marmorata,"Haemopis marmorata (Say, 1824)",1,NA
Helobdella modesta,Helobdella modesta,species,Annelida,Clitellata,Rhynchobdellida,Glossiphoniidae,Helobdella,1370685,26097,8372779,1043001,accepted,NA,FALSE,NA,"(Verrill, 1872)",Helobdella modesta,Helobdella modesta,Helobdella modesta,"Helobdella modesta (Verrill, 1872)",1,NA
Helobdella europaea,Helobdella europaea,species,Annelida,Clitellata,Rhynchobdellida,Glossiphoniidae,Helobdella,1324805,25449,4411129,295295,accepted,NA,FALSE,NA,"Kutschera, 1987",Helobdella europaea,Helobdella europaea,Helobdella europaea,"Helobdella europaea Kutschera, 1987",1,0
Arcteonais lomondi,Arcteonais lomondi,species,Annelida,Clitellata,Tubificida,Naididae,Arcteonais,1040900,30686,2308084,521122,accepted,NA,FALSE,NA,"(Martin, 1907)",Arcteonais lomondi,Arcteonais lomondi,Arcteonais lomondi,"Arcteonais lomondi (Martin, 1907)",1,0
Chaetogaster diaphanus,Chaetogaster diaphanus,species,Annelida,Clitellata,Tubificida,Naididae,Chaetogaster,137478,30684,5194017,102534,accepted,NA,FALSE,NA,"(Gruithuisen, 1828)",Chaetogaster diaphanus,Chaetogaster diaphanus,Chaetogaster diaphanus,"Chaetogaster diaphanus (Gruithuisen, 1828)",1,0
Chaetogaster diastrophus,Chaetogaster diastrophus,species,Annelida,Clitellata,Tubificida,Naididae,Chaetogaster,157589,30683,5194015,735915,accepted,NA,FALSE,NA,"(Gruithuisen, 1828)",Chaetogaster diastrophus,Chaetogaster diastrophus,Chaetogaster diastrophus,"Chaetogaster diastrophus (Gruithuisen, 1828)",1,0
Dero digitata,Dero digitata,species,Annelida,Clitellata,Tubificida,Naididae,Dero,1015304,30680,2308139,870821,accepted,NA,FALSE,sibling_higher,"(Müller, 1774)",Dero digitata,Dero digitata,Dero digitata,"Dero digitata (Müller, 1774)",1,0
Dero,Dero,genus,Annelida,Clitellata,Tubificida,Naididae,Dero,993490,30675,2308127,870819,accepted,NA,FALSE,NA,"Oken, 1815",Dero,Dero,Dero,"Dero Oken, 1815",1,NA
Nais variabilis,Nais variabilis,species,Annelida,Clitellata,Tubificida,Naididae,Nais,137482,30673,2308091,549846,accepted,NA,FALSE,NA,"Piguet, 1906",Nais variabilis,Nais variabilis,Nais variabilis,"Nais variabilis Piguet, 1906",1,0
Pristina aequiseta,Pristina (Pristina) aequiseta,species,Annelida,Clitellata,Tubificida,Naididae,Pristina,1040147,30665,5194062,549856,alternate representation,NA,FALSE,NA,"Bourne, 1891",Pristina (Pristina) aequiseta,Pristina aequiseta,Pristina aequiseta,"Pristina aequiseta Bourne, 1891",1,0
