ASV93	BHAK132-17|Protothaca staminea|BHAK1981|Mollusca|Bivalvia|Venerida|Veneridae|Protothaca|Protothaca staminea	BHAK132-17|Protothaca	N/A	100.000	100	3.12e-166	579
ASV107	BHAK209-17|Clinocardium|BHAK2945|Mollusca|Bivalvia|Cardiida|Cardiidae|Clinocardium|	BHAK209-17|Clinocardium|BHAK2945|Mollusca|Bivalvia|Cardiida|Cardiidae|Clinocardium|	N/A	100.000	100	3.92e-160	558
ASV128	ZHAK728-18|Metridia pseudopacifica|ZOO_728|Arthropoda|Copepoda|Calanoida|Metridinidae|Metridia|Metridia pseudopacifica	ZHAK728-18|Metridia	N/A	100.000	100	3.12e-166	579
ASV137	ZHAK944-19|Acartia longiremis|ZOO18S_001|Arthropoda|Copepoda|Calanoida|Acartiidae|Acartia|Acartia longiremis	ZHAK944-19|Acartia	N/A	99.681	100	1.45e-164	573
ASV144	ZHAK1075-19|Tortanus discaudatus|ZOO18S_132|Arthropoda|Copepoda|Calanoida|Tortanidae|Tortanus|Tortanus discaudatus	ZHAK1075-19|Tortanus	N/A	99.672	100	3.96e-160	558
ASV245	BHAK2754-20|Ophiuroidea|BHAK-6933|Echinodermata|Ophiuroidea||||	BHAK2754-20|Ophiuroidea|BHAK-6933|Echinodermata|Ophiuroidea||||	N/A	100.000	100	3.12e-166	579
ASV314	BHAK4033-20|Mya truncata|BHAK-1598|Mollusca|Bivalvia|Myida|Myidae|Mya|Mya truncata	BHAK4033-20|Mya	N/A	100.000	100	6.78e-168	584
ASV328	BHAK826-18|Balanus|BHAK1841|Arthropoda|Thecostraca|Sessilia|Balanidae|Balanus|	BHAK826-18|Balanus|BHAK1841|Arthropoda|Thecostraca|Sessilia|Balanidae|Balanus|	N/A	99.346	100	5.14e-159	555
ASV338	QHAK006-20|Calanoida|BHAK-10899|Arthropoda|Copepoda|Calanoida|||	QHAK006-20|Calanoida|BHAK-10899|Arthropoda|Copepoda|Calanoida|||	N/A	99.338	100	8.47e-157	547
ASV368	BHAK1636-19|Armandia brevis|BHAK-0246|Annelida|Polychaeta|Opheliida|Opheliidae|Armandia|Armandia brevis	BHAK1636-19|Armandia	N/A	100.000	100	1.98e-178	619
ASV402	ZHAK944-19|Acartia longiremis|ZOO18S_001|Arthropoda|Copepoda|Calanoida|Acartiidae|Acartia|Acartia longiremis	ZHAK944-19|Acartia	N/A	99.681	100	1.45e-164	573
ASV416	ZHAK494-18|Parasagitta elegans|ZOO_494|Chaetognatha|Sagittoidea|Aphragmophora|Sagittidae|Parasagitta|Parasagitta elegans	ZHAK494-18|Parasagitta	N/A	98.577	91	8.90e-142	497
ASV437	QHAK170-20|Bryozoa|QHAK-00160|Bryozoa|||||	QHAK170-20|Bryozoa|QHAK-00160|Bryozoa|||||	N/A	99.681	100	1.45e-164	573
ASV575	FHAK037-17|Platichthys stellatus|MAL_1071|Chordata|Actinopterygii|Pleuronectiformes|Pleuronectidae|Platichthys|Platichthys stellatus	FHAK037-17|Platichthys	N/A	100.000	90	2.45e-147	516
ASV580	BHAK138-17|Humilaria kennerleyi|BHAK1605|Mollusca|Bivalvia|Venerida|Veneridae|Humilaria|Humilaria kennerleyi	BHAK138-17|Humilaria	N/A	100.000	100	3.12e-166	579
